15 0.596923 0.305699 0.0413587 0.165149
15 0.591241 0.315883 0.0640689 0.168843 1
15 0.589425 0.332075 0.0588667 0.187851
15 0.588262 0.357321 0.0712464 0.192761 1
15 0.585049 0.38154 0.0784744 0.19968 1
15 0.588882 0.399175 0.0928001 0.200355 1
15 0.602796 0.413406 0.0960332 0.210722 1
15 0.610712 0.420968 0.0981122 0.219875 1
15 0.606371 0.432496 0.102096 0.244695 1
15 0.595946 0.432505 0.113102 0.24099 1
15 0.579322 0.438887 0.117358 0.257002 1
15 0.571848 0.438894 0.12779 0.271396 1
15 0.560979 0.450875 0.128485 0.268758 1
15 0.559275 0.45819 0.142951 0.270379 1
15 0.554768 0.456161 0.136891 0.320333 1
15 0.548737 0.459391 0.139403 0.33496 1
15 0.551422 0.479629 0.151904 0.366042 1
15 0.559736 0.497557 0.187957 0.375652 1
15 0.565636 0.520164 0.221299 0.420107 1
15 0.565431 0.536744 0.267477 0.417046 1
15 0.560097 0.521195 0.320551 0.464675 1
15 0.555468 0.48331 0.3848 0.498982 1
15 0.546024 0.433542 0.438774 0.536952 1
15 0.541953 0.437622 0.445157 0.552228 1
15 0.526599 0.407559 0.436901 0.606536 1
15 0.543583 0.407277 0.394528 0.631806 1
15 0.577329 0.380386 0.348508 0.611449 1
15 0.613144 0.398163 0.27674 0.583904 1
15 0.622339 0.376053 0.23384 0.585735 1
15 0.621448 0.387073 0.206699 0.517378 1
15 0.626461 0.427132 0.181491 0.464442 1
15 0.643687 0.41163 0.174541 0.41669 1
15 0.646214 0.427995 0.184197 0.392689 1
15 0.650879 0.405224 0.160293 0.385693 1
15 0.653947 0.415215 0.160832 0.375525 1
15 0.663967 0.388114 0.188649 0.39783 1
15 0.67107 0.355324 0.195923 0.420206 1
15 0.669007 0.362905 0.172366 0.41758 1
15 0.644556 0.372482 0.121113 0.507845 1
15 0.61929 0.368956 0.106589 0.555525 1
15 0.609453 0.366774 0.132393 0.586204 1
15 0.604751 0.364067 0.134444 0.585702 1
15 0.589578 0.360712 0.143751 0.577409 1
15 0.582608 0.365978 0.140381 0.555294 1
15 0.56899 0.386445 0.154508 0.510402 1
15 0.559913 0.475916 0.154115 0.427503 1
15 0.553939 0.449414 0.112459 0.472974 1
15 0.55705 0.407648 0.101127 0.581608 1
15 0.589229 0.428265 0.1901 0.641097 1
15 0.57851 0.43835 0.239532 0.618394 1
15 0.492644 0.480082 0.289379 0.500688 1
15 0.49639 0.488023 0.203398 0.506388 1
15 0.510306 0.500596 0.132007 0.506221 1
15 0.509549 0.504046 0.117986 0.516401 1
15 0.511405 0.488148 0.131108 0.454798 1
15 0.520572 0.453408 0.161475 0.452459 1
15 0.522407 0.482213 0.17072 0.423788 1
15 0.537823 0.464157 0.168406 0.422761 1
15 0.560055 0.428228 0.205908 0.461286 1
15 0.575906 0.43401 0.225888 0.452291 1
15 0.576361 0.426365 0.220775 0.405443 1
15 0.562592 0.418767 0.162874 0.442439 1
15 0.543032 0.43202 0.116069 0.529085 1
15 0.523546 0.473696 0.126979 0.530072 1
15 0.517522 0.477205 0.162861 0.507558 1
15 0.520081 0.519193 0.177427 0.406979 1
15 0.517438 0.495619 0.108559 0.57295 1
15 0.52564 0.489097 0.111876 0.570962 1
15 0.53807 0.504893 0.220884 0.55945 1
15 0.455836 0.538458 0.279251 0.532069 1
15 0.393977 0.565612 0.288862 0.508161 1
15 0.418021 0.597887 0.218091 0.465445 1
15 0.424103 0.576923 0.22806 0.421912 1
15 0.436241 0.578321 0.231549 0.425996 1
15 0.454534 0.559743 0.247383 0.382006 1
15 0.466222 0.543762 0.238525 0.402335 1
15 0.475111 0.532135 0.231172 0.40761 1
15 0.497645 0.49655 0.262109 0.413817 1
15 0.520947 0.487792 0.294521 0.390477 1
15 0.521227 0.448665 0.29202 0.463596 1
15 0.488012 0.425571 0.322548 0.508184 1
15 0.44378 0.454154 0.349822 0.512835 1
15 0.40586 0.455317 0.290283 0.525646 1
15 0.363223 0.472619 0.283955 0.499984 1
15 0.37362 0.441516 0.247619 0.482871 1
15 0.414272 0.433832 0.194363 0.454581 1
15 0.408186 0.452738 0.205414 0.456097 1
15 0.39364 0.440259 0.116249 0.513023 1
15 0.36441 0.427121 0.121602 0.447155 1
15 0.390215 0.440742 0.151763 0.443094 1
15 0.393817 0.450039 0.185153 0.437646 1
15 0.388407 0.476181 0.25999 0.432262 1
